mmr_combined_label,combined_label,match,sentence,cosine_score,keyword_score,bonus_score_response,bonus_score_adapted,rarity_score,total_score,doc_id,B_COUNTRY_ALPHA,A_SESSION,A_YEAR,speaker_name,speaker_post,embedding_hash,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypotheses,question_idx
Q69_4,Q69_4,1,the united nations ability to deliver on its core mission faces a serious test.,0.67080796,0,0,0,0.744897302,0.43972967,KAZ_74_2019,KAZ,74,2019,Mr. Kassym-Jomart Tokayev,President,c3bfdac25057968b02d7187c0b4a1c5899d2cb6f95868955e6bf6e74edba561d,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,one has little or no confidence in the police.,"In our country, confidence in police institutions is strained by unresolved issues of accountability and misuse of power. [SEP] We urge reforms in international peacekeeping, where mandates must align more clearly with humanitarian outcomes. [SEP] Too often, UN missions fall short not from lack of principle, but from the sluggish execution of those principles on the ground. [SEP] When the protectors become a source of fear, the very notion of security is inverted. [SEP] The measure of public trust is not in presence alone, but in how power is exercised in moments of doubt.",21
Q69_4,Q69_4,1,"if we really want to revitalize the united nations, let us talk to one another simply and speak clearly, concretely and, most important, honestly and frankly.",0.5496912,0,0,1,0.68944078,0.414286783,UKR_76_2021,UKR,76,2021,Volodymyr Zelensky,President ,aeda8943b6256e5e709f2cfcc7945b8c7b9a1c2b3e38a2d08e68e8a87b8d687e,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,one has little or no confidence in the police.,"In our country, confidence in police institutions is strained by unresolved issues of accountability and misuse of power. [SEP] We urge reforms in international peacekeeping, where mandates must align more clearly with humanitarian outcomes. [SEP] Too often, UN missions fall short not from lack of principle, but from the sluggish execution of those principles on the ground. [SEP] When the protectors become a source of fear, the very notion of security is inverted. [SEP] The measure of public trust is not in presence alone, but in how power is exercised in moments of doubt.",21
Q69_4,Q69_4,1,we need to strike a balance whereby it becomes increasingly difficult for aspiring warlords to blame their failures on so called asymmetries in the world order.,0.6095328,0,0,0,0.7857141,0.405005381,ECU_77_2022,ECU,77,2022,Guillermo Lasso Mendoza,President ,e7d5289a2d6f7904fd8f42edb00cdd2c689fbc4ee3a0d043f9f193702c112b69,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,one has little or no confidence in the police.,"In our country, confidence in police institutions is strained by unresolved issues of accountability and misuse of power. [SEP] We urge reforms in international peacekeeping, where mandates must align more clearly with humanitarian outcomes. [SEP] Too often, UN missions fall short not from lack of principle, but from the sluggish execution of those principles on the ground. [SEP] When the protectors become a source of fear, the very notion of security is inverted. [SEP] The measure of public trust is not in presence alone, but in how power is exercised in moments of doubt.",21
Q69_4,Q69_4,1,only when military measures are embedded in a clear political strategy can peacekeepers truly bring peace.,0.634735,0,0,0,0.776785179,0.419680276,DEU_73_2018,DEU,73,2018,Mr. Heiko Maas,Federal Minister for Foreign Affairs,3fb46689053bf2ba8e43700e07a306a5965547a52eb0619b4c4bcb86222c076c,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,one has little or no confidence in the police.,"In our country, confidence in police institutions is strained by unresolved issues of accountability and misuse of power. [SEP] We urge reforms in international peacekeeping, where mandates must align more clearly with humanitarian outcomes. [SEP] Too often, UN missions fall short not from lack of principle, but from the sluggish execution of those principles on the ground. [SEP] When the protectors become a source of fear, the very notion of security is inverted. [SEP] The measure of public trust is not in presence alone, but in how power is exercised in moments of doubt.",21
Q69_4,Q69_4,0,"we therefore believe that any breach of international peace and security is linked to the insufficient application of the mechanisms provided for in the charter of the united nations or, failing that, to their flagrant violation.",0.6231576,0,0,0,0.630541801,0.405421662,BOL_77_2022,BOL,77,2022,Luis Alberto Arce Catacora,President ,9f0ea29875a5b18e6bcc307c49dad6a2d49f61b35afa529140d1a47ef8a73a6d,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,one has little or no confidence in the police.,"In our country, confidence in police institutions is strained by unresolved issues of accountability and misuse of power. [SEP] We urge reforms in international peacekeeping, where mandates must align more clearly with humanitarian outcomes. [SEP] Too often, UN missions fall short not from lack of principle, but from the sluggish execution of those principles on the ground. [SEP] When the protectors become a source of fear, the very notion of security is inverted. [SEP] The measure of public trust is not in presence alone, but in how power is exercised in moments of doubt.",21
Q69_4,Q69_4,0,"the prevention and early warning of situations that could lead to massive human rights violations, as well as crimes against humanity or genocide, must be one of the main tasks of the united nations.",0.6173921,0,0,0,0.753694488,0.408120022,ARG_76_2021,ARG,76,2021,Alberto Fernández,President ,32366ab07d8496efa5cd3371eafa372926db48c0bbd618071d4ef995889a5f6d,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,one has little or no confidence in the police.,"In our country, confidence in police institutions is strained by unresolved issues of accountability and misuse of power. [SEP] We urge reforms in international peacekeeping, where mandates must align more clearly with humanitarian outcomes. [SEP] Too often, UN missions fall short not from lack of principle, but from the sluggish execution of those principles on the ground. [SEP] When the protectors become a source of fear, the very notion of security is inverted. [SEP] The measure of public trust is not in presence alone, but in how power is exercised in moments of doubt.",21
Q69_4,Q69_4,0,"from asia to the middle east and from africa to south america, violence and the threat of conflict continue to imperil the lives of too many people.",0.612847,0,0,0,0.732142532,0.404315333,NGA_74_2019,NGA,74,2019,Mr. Muhammadu Buhari,President,b79407fa41cbb4c0f0acfd9a936bb6ec05676c4e43b991540bcb862b2d2cc711,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,one has little or no confidence in the police.,"In our country, confidence in police institutions is strained by unresolved issues of accountability and misuse of power. [SEP] We urge reforms in international peacekeeping, where mandates must align more clearly with humanitarian outcomes. [SEP] Too often, UN missions fall short not from lack of principle, but from the sluggish execution of those principles on the ground. [SEP] When the protectors become a source of fear, the very notion of security is inverted. [SEP] The measure of public trust is not in presence alone, but in how power is exercised in moments of doubt.",21
Q69_4,Q69_4,1,"we have been discussing turmoil and change around the world, but the one organization created to address world affairs is beset by its own problems.",0.64164746,0,0,0,0.68944078,0.419460526,IND_72_2017,IND,72,2017,Ms. Sushma Swaraj,Minister for External Affairs,b0e599cd9544594e1645096f536a6210f94d6164213b13f54113edd962df5b2e,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,one has little or no confidence in the police.,"In our country, confidence in police institutions is strained by unresolved issues of accountability and misuse of power. [SEP] We urge reforms in international peacekeeping, where mandates must align more clearly with humanitarian outcomes. [SEP] Too often, UN missions fall short not from lack of principle, but from the sluggish execution of those principles on the ground. [SEP] When the protectors become a source of fear, the very notion of security is inverted. [SEP] The measure of public trust is not in presence alone, but in how power is exercised in moments of doubt.",21
Q69_4,Q69_4,0,"it takes decades to build peace and trust, but it only takes seconds, one selfish or narrow minded decision, to break them.",0.6364754,0,0,0,0.90601461,0.427185991,SVK_73_2018,SVK,73,2018,Mr. Andrej Kiska,President,13b6d36967b1a7a51ae33aae7d7a50dda24c32ca6934e00c6b1826517817a115,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,one has little or no confidence in the police.,"In our country, confidence in police institutions is strained by unresolved issues of accountability and misuse of power. [SEP] We urge reforms in international peacekeeping, where mandates must align more clearly with humanitarian outcomes. [SEP] Too often, UN missions fall short not from lack of principle, but from the sluggish execution of those principles on the ground. [SEP] When the protectors become a source of fear, the very notion of security is inverted. [SEP] The measure of public trust is not in presence alone, but in how power is exercised in moments of doubt.",21
Q69_4,Q69_4,1,"knowing that, we cannot, the united nations cannot, stand idly by, paralysed by bureaucratic constraints or political divisions in the security council.",0.6338801,0,0,0,0.530074897,0.406831804,CHL_76_2021,CHL,76,2021,Sebastián Piñera,President ,74d349dd19683436883276b2f9470d6c3ebed8bf961dcac382dbdbf2de7186ac,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,one has little or no confidence in the police.,"In our country, confidence in police institutions is strained by unresolved issues of accountability and misuse of power. [SEP] We urge reforms in international peacekeeping, where mandates must align more clearly with humanitarian outcomes. [SEP] Too often, UN missions fall short not from lack of principle, but from the sluggish execution of those principles on the ground. [SEP] When the protectors become a source of fear, the very notion of security is inverted. [SEP] The measure of public trust is not in presence alone, but in how power is exercised in moments of doubt.",21
