combined_label,sentence,match,embedding_hash,response_hypothesis,adapted_hypotheses,sentence_combined
Q70_2,"russia will continue to do its utmost to build a world based on law, truth and justice, and we are not alone in that aspiration.",1,01b9114016f5c97bbbc034d123b6c98baa64d1010181ab1bca5ebffffe0297b5,one has quite a lot of confidence in the justice system.,"Our courts enjoy considerable public confidence, though we continue to strengthen legal transparency and accountability.  |  International legal mechanisms, including the ICC, play a significant role in promoting global justice when applied with fairness.  |  Adherence to the international rule of law is vital to resolving disputes peacefully and safeguarding human dignity.  |  Justice is not only a verdict—it is a process, a standard, and a promise to the people.  |  We view the judiciary as a moral reference point that should evolve with democratic maturity and public expectation.","russia will continue to do its utmost to build a world based on law, truth and justice, and we are not alone in that aspiration. | one has quite a lot of confidence in the justice system. | Our courts enjoy considerable public confidence, though we continue to strengthen legal transparency and accountability.  |  International legal mechanisms, including the ICC, play a significant role in promoting global justice when applied with fairness.  |  Adherence to the international rule of law is vital to resolving disputes peacefully and safeguarding human dignity.  |  Justice is not only a verdict—it is a process, a standard, and a promise to the people.  |  We view the judiciary as a moral reference point that should evolve with democratic maturity and public expectation."
Q70_2,"let us strengthen it so it can fully deliver its mandate to maintain peace and security, uphold justice and human rights, and promote freedom and social progress for all.",1,816c335c8662bb30468e1c13491228a219100334c0e3ceb27f5911676b606ede,one has quite a lot of confidence in the justice system.,"Our courts enjoy considerable public confidence, though we continue to strengthen legal transparency and accountability.  |  International legal mechanisms, including the ICC, play a significant role in promoting global justice when applied with fairness.  |  Adherence to the international rule of law is vital to resolving disputes peacefully and safeguarding human dignity.  |  Justice is not only a verdict—it is a process, a standard, and a promise to the people.  |  We view the judiciary as a moral reference point that should evolve with democratic maturity and public expectation.","let us strengthen it so it can fully deliver its mandate to maintain peace and security, uphold justice and human rights, and promote freedom and social progress for all. | one has quite a lot of confidence in the justice system. | Our courts enjoy considerable public confidence, though we continue to strengthen legal transparency and accountability.  |  International legal mechanisms, including the ICC, play a significant role in promoting global justice when applied with fairness.  |  Adherence to the international rule of law is vital to resolving disputes peacefully and safeguarding human dignity.  |  Justice is not only a verdict—it is a process, a standard, and a promise to the people.  |  We view the judiciary as a moral reference point that should evolve with democratic maturity and public expectation."
Q70_1,"for our kingdom, freedom is bound up with cooperation with other countries, based on equality, justice, honest relations and international law.",1,8c03d6beb239963902b342e3064e7109c74d3cfac06c24525c0cb2d0023cd47a,one has a great deal of confidence in the justice system.,"Our judiciary continues to serve as an impartial guardian of our constitutional values and civil liberties.  |  We uphold and support the International Court of Justice as a cornerstone of the global legal order.  |  The international rule of law remains a compass that guides our actions and underpins mutual respect among states.  |  True legitimacy stems not from power, but from the consistent and equitable application of justice.  |  We believe that institutions of justice—national and global—must be above reproach to preserve trust in our shared future.","for our kingdom, freedom is bound up with cooperation with other countries, based on equality, justice, honest relations and international law. | one has a great deal of confidence in the justice system. | Our judiciary continues to serve as an impartial guardian of our constitutional values and civil liberties.  |  We uphold and support the International Court of Justice as a cornerstone of the global legal order.  |  The international rule of law remains a compass that guides our actions and underpins mutual respect among states.  |  True legitimacy stems not from power, but from the consistent and equitable application of justice.  |  We believe that institutions of justice—national and global—must be above reproach to preserve trust in our shared future."
Q70_2,"if we want to make a reality of major ambitions such as peace, security and justice, we need stronger joint international institutions, and especially a stronger united nations.",1,228c387bf2406d20928e299524b36200901aa88ca01db49a5e04d4194f41c3d6,one has quite a lot of confidence in the justice system.,"Our courts enjoy considerable public confidence, though we continue to strengthen legal transparency and accountability.  |  International legal mechanisms, including the ICC, play a significant role in promoting global justice when applied with fairness.  |  Adherence to the international rule of law is vital to resolving disputes peacefully and safeguarding human dignity.  |  Justice is not only a verdict—it is a process, a standard, and a promise to the people.  |  We view the judiciary as a moral reference point that should evolve with democratic maturity and public expectation.","if we want to make a reality of major ambitions such as peace, security and justice, we need stronger joint international institutions, and especially a stronger united nations. | one has quite a lot of confidence in the justice system. | Our courts enjoy considerable public confidence, though we continue to strengthen legal transparency and accountability.  |  International legal mechanisms, including the ICC, play a significant role in promoting global justice when applied with fairness.  |  Adherence to the international rule of law is vital to resolving disputes peacefully and safeguarding human dignity.  |  Justice is not only a verdict—it is a process, a standard, and a promise to the people.  |  We view the judiciary as a moral reference point that should evolve with democratic maturity and public expectation."
Q70_2,"let us continue to support our young people as they walk the path of freedom, rule of law, sovereignty and justice.",1,6d0598d076405c3263feb88e7c6b95619fd9e80e8b2b58ccac516aeeed998539,one has quite a lot of confidence in the justice system.,"Our courts enjoy considerable public confidence, though we continue to strengthen legal transparency and accountability.  |  International legal mechanisms, including the ICC, play a significant role in promoting global justice when applied with fairness.  |  Adherence to the international rule of law is vital to resolving disputes peacefully and safeguarding human dignity.  |  Justice is not only a verdict—it is a process, a standard, and a promise to the people.  |  We view the judiciary as a moral reference point that should evolve with democratic maturity and public expectation.","let us continue to support our young people as they walk the path of freedom, rule of law, sovereignty and justice. | one has quite a lot of confidence in the justice system. | Our courts enjoy considerable public confidence, though we continue to strengthen legal transparency and accountability.  |  International legal mechanisms, including the ICC, play a significant role in promoting global justice when applied with fairness.  |  Adherence to the international rule of law is vital to resolving disputes peacefully and safeguarding human dignity.  |  Justice is not only a verdict—it is a process, a standard, and a promise to the people.  |  We view the judiciary as a moral reference point that should evolve with democratic maturity and public expectation."
Q70_1,"with stronger solidarity, china and other developing countries have spoken out for justice and become a pillar of promoting development cooperation and safeguarding equity and justice.",1,27624d89d9d2457f44035e4f4e5fac331554f47485f4c8ab56c867ee31373495,one has a great deal of confidence in the justice system.,"Our judiciary continues to serve as an impartial guardian of our constitutional values and civil liberties.  |  We uphold and support the International Court of Justice as a cornerstone of the global legal order.  |  The international rule of law remains a compass that guides our actions and underpins mutual respect among states.  |  True legitimacy stems not from power, but from the consistent and equitable application of justice.  |  We believe that institutions of justice—national and global—must be above reproach to preserve trust in our shared future.","with stronger solidarity, china and other developing countries have spoken out for justice and become a pillar of promoting development cooperation and safeguarding equity and justice. | one has a great deal of confidence in the justice system. | Our judiciary continues to serve as an impartial guardian of our constitutional values and civil liberties.  |  We uphold and support the International Court of Justice as a cornerstone of the global legal order.  |  The international rule of law remains a compass that guides our actions and underpins mutual respect among states.  |  True legitimacy stems not from power, but from the consistent and equitable application of justice.  |  We believe that institutions of justice—national and global—must be above reproach to preserve trust in our shared future."
Q70_1,we also strongly support ukraine's application instituting proceedings against the russian federation under the convention on the prevention and punishment of the crime of genocide before the international court of justice.,1,62265b25e19d0e1a9b113bda664384ca2e8634c585e6ca64a7c58caf81f443bc,one has a great deal of confidence in the justice system.,"Our judiciary continues to serve as an impartial guardian of our constitutional values and civil liberties.  |  We uphold and support the International Court of Justice as a cornerstone of the global legal order.  |  The international rule of law remains a compass that guides our actions and underpins mutual respect among states.  |  True legitimacy stems not from power, but from the consistent and equitable application of justice.  |  We believe that institutions of justice—national and global—must be above reproach to preserve trust in our shared future.","we also strongly support ukraine's application instituting proceedings against the russian federation under the convention on the prevention and punishment of the crime of genocide before the international court of justice. | one has a great deal of confidence in the justice system. | Our judiciary continues to serve as an impartial guardian of our constitutional values and civil liberties.  |  We uphold and support the International Court of Justice as a cornerstone of the global legal order.  |  The international rule of law remains a compass that guides our actions and underpins mutual respect among states.  |  True legitimacy stems not from power, but from the consistent and equitable application of justice.  |  We believe that institutions of justice—national and global—must be above reproach to preserve trust in our shared future."
Q70_1,"i quote the opening words of the universal declaration of human rights ""... the equal and inalienable rights of all members of the human family is the foundation of freedom, justice and peace in the world"".",1,e36ea45479ee8ff62ba23005a2adfa4bc7e286a591b54563e1c187c0409588f6,one has a great deal of confidence in the justice system.,"Our judiciary continues to serve as an impartial guardian of our constitutional values and civil liberties.  |  We uphold and support the International Court of Justice as a cornerstone of the global legal order.  |  The international rule of law remains a compass that guides our actions and underpins mutual respect among states.  |  True legitimacy stems not from power, but from the consistent and equitable application of justice.  |  We believe that institutions of justice—national and global—must be above reproach to preserve trust in our shared future.","i quote the opening words of the universal declaration of human rights ""... the equal and inalienable rights of all members of the human family is the foundation of freedom, justice and peace in the world"". | one has a great deal of confidence in the justice system. | Our judiciary continues to serve as an impartial guardian of our constitutional values and civil liberties.  |  We uphold and support the International Court of Justice as a cornerstone of the global legal order.  |  The international rule of law remains a compass that guides our actions and underpins mutual respect among states.  |  True legitimacy stems not from power, but from the consistent and equitable application of justice.  |  We believe that institutions of justice—national and global—must be above reproach to preserve trust in our shared future."
Q70_2,"it is crucial for all countries to be under the rule of law, not the rule of force.",1,f1357198ca3f85e8a32b912d0d95c3d0cfc5cda05cf67d4cd838ed5b3dcf90c0,one has quite a lot of confidence in the justice system.,"Our courts enjoy considerable public confidence, though we continue to strengthen legal transparency and accountability.  |  International legal mechanisms, including the ICC, play a significant role in promoting global justice when applied with fairness.  |  Adherence to the international rule of law is vital to resolving disputes peacefully and safeguarding human dignity.  |  Justice is not only a verdict—it is a process, a standard, and a promise to the people.  |  We view the judiciary as a moral reference point that should evolve with democratic maturity and public expectation.","it is crucial for all countries to be under the rule of law, not the rule of force. | one has quite a lot of confidence in the justice system. | Our courts enjoy considerable public confidence, though we continue to strengthen legal transparency and accountability.  |  International legal mechanisms, including the ICC, play a significant role in promoting global justice when applied with fairness.  |  Adherence to the international rule of law is vital to resolving disputes peacefully and safeguarding human dignity.  |  Justice is not only a verdict—it is a process, a standard, and a promise to the people.  |  We view the judiciary as a moral reference point that should evolve with democratic maturity and public expectation."
Q70_1,"peace, development and justice are foundational pillars in our multilateral strategy.",1,b5412200c2e05a6c7e7678a8cfeff2caaa74270029d521a7a7740e04ed34a083,one has a great deal of confidence in the justice system.,"Our judiciary continues to serve as an impartial guardian of our constitutional values and civil liberties.  |  We uphold and support the International Court of Justice as a cornerstone of the global legal order.  |  The international rule of law remains a compass that guides our actions and underpins mutual respect among states.  |  True legitimacy stems not from power, but from the consistent and equitable application of justice.  |  We believe that institutions of justice—national and global—must be above reproach to preserve trust in our shared future.","peace, development and justice are foundational pillars in our multilateral strategy. | one has a great deal of confidence in the justice system. | Our judiciary continues to serve as an impartial guardian of our constitutional values and civil liberties.  |  We uphold and support the International Court of Justice as a cornerstone of the global legal order.  |  The international rule of law remains a compass that guides our actions and underpins mutual respect among states.  |  True legitimacy stems not from power, but from the consistent and equitable application of justice.  |  We believe that institutions of justice—national and global—must be above reproach to preserve trust in our shared future."
